Trial values;Aciertos;Fallos;Recompensa minima;Recompensa maxima;Puntuación maxima;Tiempo de respuesta min;Tiempo de respuesta maximo;Tiempo total de la prueba;Distancia al jugador de los objetos.;Numero de piezas;Ratio de aparición de los objetos en el juego.;Ratio de recompensa de los objetos.;Tamaño de los objetos.
1;21;17;0.001;0.165819871;-1.067329161;178.2;743.5999148;23006.38177;0.492548192;37.75606754;0.9;0.399153204;0.372746168
2;24;9;0.278850118;0.495516784;4.832751767;139.2;287.8713745;11402.61298;0.40299167;32.61568945;0.8;0.678850118;0.613034664
3;18;26;0.004038977;0.22737231;-3.828978484;69.6;153.0068367;16105.21248;0.347508593;44.33134678;0.4;0.460705644;0.504502718
4;30;20;0.001;0.142751486;-0.698757428;121.8;481.6171999;23429.78565;0.429639376;50.24418809;0.7;0.376084819;0.578137265
5;21;9;0.259491353;0.492824686;3.463896237;111.6;429.1395813;13853.3496;0.27038717;30.15536685;0.6;0.62615802;0.640879885
6;34;15;0.31449324;0.531159907;6.408704897;138;455.414355;20529.27905;0.670651848;48.76216341;1;0.71449324;0.639841598
7;4;20;0.291923078;0.415256411;-6.890769241;87;642.6860903;247017.603;0.314099619;23.80009269;0;0.548589744;0.556544771
8;6;38;0.001;0.104926058;-3.669412024;63.9;374.9436298;24531.86435;0.535073554;43.98957531;0.3;0.338259391;0.414066903
9;4;15;0.201169535;0.351169535;-4.162864882;82.5;499.2384378;25146.18501;0.553537634;19.42780063;0.1;0.517836201;0.727560048
10;22;15;0.001;0.18319919;-0.721796758;117.6;834.9716499;24689.93043;0.300306272;36.56760007;0.7;0.416532523;0.45073889
11;0;24;0.001;0.193481711;-4.643561062;34.8;504.33065;18300.39817;0.80134312;23.66166074;0.2;0.460148378;0.561332012
12;22;18;0.406894868;0.573561535;0.460912805;54.9;323.0867848;21683.2482;0.299415465;40.33916653;0.3;0.690228201;0.765399982
13;15;12;0.001;0.070888587;-0.311498643;163.2;748.205986;16650.05305;0.621171475;26.97268808;0.8;0.304221921;0.578752395
14;9;33;0.364740793;0.58140746;-14.92877904;84;538.704087;56039.77908;0.404706524;42.48925115;0.1;0.764740793;0.609435679
